timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence,differential_pressure_filtered_pa
327003843,0.0,0.0,0.0,23.4725,1.0,-4.18126
327071917,0.0,0.0,0.0,23.4182,1.0,-4.15003
327085543,0.0,0.0,0.0,23.4468,1.0,-4.11593
327156060,0.0,0.0,0.0,23.4439,1.0,-3.69102
327167793,0.0,0.0,0.0,23.4725,1.0,-3.61537
327180124,0.0,0.0,0.0,23.4496,1.0,-3.56158
327192741,0.0,0.0,0.0,23.4496,1.0,-3.53226
327205177,0.0,0.0,0.0,23.4496,1.0,-3.51884
327216644,0.0,0.0,0.0,23.4554,1.0,-3.51496
327229485,0.0,0.0,0.0,23.4825,1.0,-3.51587
327240348,0.0,0.0,0.0,23.4897,1.0,-3.5187
327252847,0.0,0.0,0.0,23.4325,1.0,-3.52194
327264454,0.0,0.0,0.0,23.4382,1.0,-3.51713
327275912,0.0,0.0,0.0,23.4468,1.0,-3.50168
327287900,0.0,0.0,0.0,23.4654,1.0,-3.484
327299954,0.0,0.0,0.0,23.4754,1.0,-3.46601
327311858,0.0,0.0,0.0,23.4439,1.0,-3.44003
327324893,0.0,0.0,0.0,23.4439,1.0,-3.40088
327336881,0.0,0.0,0.0,23.4639,1.0,-3.35124
327348887,0.0,0.0,0.0,23.4496,1.0,-3.2984
327360907,0.0,0.0,0.0,23.4611,1.0,-3.25405
327373180,0.0,0.0,0.0,23.4339,1.0,-3.2265
327385850,0.0,0.0,0.0,23.4582,1.0,-3.21177
327396919,0.0,0.0,0.0,23.4611,1.0,-3.21334
327409289,0.0,0.0,0.0,23.4768,1.0,-3.23639
327421412,0.0,0.0,0.0,23.4725,1.0,-3.27139
327433317,0.0,0.0,0.0,23.4525,1.0,-3.31113
327445432,0.0,0.0,0.0,23.4382,1.0,-3.35077
327457450,0.0,0.0,0.0,23.4639,1.0,-3.38527
327469292,0.0,0.0,0.0,23.4296,1.0,-3.41469
327481439,0.0,0.0,0.0,23.4439,1.0,-3.44503
327493388,0.0,0.0,0.0,23.4754,1.0,-3.47635
327505519,0.0,0.0,0.0,23.4782,1.0,-3.50045
327516963,0.0,0.0,0.0,23.4811,1.0,-3.51399
327530265,0.0,0.0,0.0,23.4311,1.0,-3.51496
327542320,0.0,0.0,0.0,23.4211,1.0,-3.50813
327553298,0.0,0.0,0.0,23.4339,1.0,-3.50423
327565460,0.0,0.0,0.0,23.4268,1.0,-3.50924
327577314,0.0,0.0,0.0,23.4382,1.0,-3.53116
327589475,0.0,0.0,0.0,23.4611,1.0,-3.56862
327601304,0.0,0.0,0.0,23.4925,1.0,-3.61959
327613894,0.0,0.0,0.0,23.4596,1.0,-3.68856
327625597,0.0,0.0,0.0,23.4611,1.0,-3.75814
327639111,0.0,0.0,0.0,23.4468,1.0,-3.80957
327650561,0.0,0.0,0.0,23.4268,1.0,-3.84481
327664911,0.0,0.0,0.0,23.4253,1.0,-3.87507
