timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,max_differential_pressure_pa,temperature
327003843,0,-1.36089,-4.18126,1406.31,23.4725
327071917,0,-5.34089,-4.15003,1406.31,23.4182
327180124,0,-8.29728,-3.56158,1406.31,23.4496
327229485,0,-2.73199,-3.51587,1406.31,23.4825
327287900,0,-3.98882,-3.484,1406.31,23.4654
327336881,0,-1.98931,-3.35124,1406.31,23.4639
327385850,0,-4.5125,-3.21177,1406.31,23.4582
327445432,0,-3.87457,-3.35077,1406.31,23.4382
327493388,0,-1.15144,-3.47635,1406.31,23.4754
327553298,0,-4.1888,-3.50423,1406.31,23.4339
327601304,0,-13.5721,-3.61959,1406.31,23.4925
327650561,0,-4.71248,-3.84481,1406.31,23.4268
327701421,0,-8.29728,-3.96284,1406.31,23.4496
327761507,0,-0.403992,-4.04259,1406.31,23.4425
327809476,0,-4.29353,-3.9466,1406.31,23.4325
327866946,0,2.85711,-3.85132,1406.31,23.4439
327916297,0,-4.92194,-3.58196,1406.31,23.4239
327963720,0,-3.46513,-3.47168,1406.31,23.4725
328023274,0,-7.04045,-3.44311,1406.31,23.4668
328071913,0,-5.76936,-3.5914,1406.31,23.4411
328119567,0,0.11969,-3.78266,1406.31,23.4496
328178861,0,-4.71248,-3.66642,1406.31,23.4268
328227129,0,0.11969,-3.5018,1406.31,23.4496
328287193,0,2.43816,-3.1808,1406.31,23.4382
328332858,0,-3.87457,-2.86434,1406.31,23.4382
328388463,0,-5.57413,-2.78726,1406.31,23.4868
328437273,0,-8.71622,-2.93687,1406.31,23.4439
328487231,0,-7.87836,-3.24291,1406.31,23.4554
328543661,0,-4.08404,-3.62197,1406.31,23.4353
328594574,0,-1.77985,-3.75414,1406.31,23.4668
328655716,0,-3.03667,-3.80325,1406.31,23.4496
328702770,0,-6.81672,-3.78323,1406.31,23.4268
328750866,0,-5.55986,-3.7967,1406.31,23.4439
328811336,0,-6.20255,-3.86658,1406.31,23.4782
328860003,0,3.14275,-3.8446,1406.31,23.534
328916601,0,-5.55986,-3.50388,1406.31,23.4439
328963708,0,-8.71622,-3.41341,1406.31,23.4439
329023331,0,-2.40826,-3.38394,1406.31,23.4582
329066696,0,-1.55611,-3.18252,1406.31,23.4268
329116707,0,-1.13716,-2.86909,1406.31,23.4325
329178207,0,0.11969,-2.44475,1406.31,23.4496
329226295,0,-0.718208,-2.06378,1406.31,23.4382
329280769,0,-3.03667,-1.60199,1406.31,23.4496
329337590,0,0.11969,-1.39926,1406.31,23.4496
329384890,0,0.11969,-1.30847,1406.31,23.4496
329432862,0,-1.55611,-1.1797,1406.31,23.4268
329492858,0,-1.15144,-1.06581,1406.31,23.4754
329538704,0,-1.76557,-1.07887,1406.31,23.4239
329599361,0,-2.1988,-1.35371,1406.31,23.4611
329646893,0,-4.71248,-1.70473,1406.31,23.4268
329694300,0,-4.93145,-2.03323,1406.31,23.4525
329754087,0,-4.08404,-2.41286,1406.31,23.4353
329802789,0,-5.14091,-2.7283,1406.31,23.4496
329861808,0,-1.97504,-3.28778,1406.31,23.4211
329911276,0,-1.13716,-3.5089,1406.31,23.4325
329958463,0,2.42388,-3.5768,1406.31,23.4811
330016675,0,-1.36089,-3.43814,1406.31,23.4725
330063900,0,-1.13716,-3.26215,1406.31,23.4325
330111726,0,-1.36089,-3.02302,1406.31,23.4725
330171339,0,-3.56987,-2.62382,1406.31,23.4711
330219386,0,-4.29353,-2.4531,1406.31,23.4325
330268588,0,3.70449,-2.33724,1406.31,23.4268
330327323,0,1.60025,-1.80322,1406.31,23.4268
330376588,0,-6.29304,-1.45973,1406.31,23.4339
330435562,0,-0.194527,-1.53367,1406.31,23.4453
330486312,0,2.33343,-1.66204,1406.31,23.4368
330534841,0,-4.81721,-1.62819,1406.31,23.4253
330594942,0,-4.71248,-1.7012,1406.31,23.4268
330641948,0,-1.55611,-1.91188,1406.31,23.4268
330689313,0,-4.50298,-1.96948,1406.31,23.4296
330749484,0,-0.718208,-1.96162,1406.31,23.4382
330798784,0,1.27179,-1.81961,1406.31,23.4654
330846525,0,-0.822937,-1.71554,1406.31,23.4368
330903719,0,-2.40826,-1.65888,1406.31,23.4582
330951430,0,-7.4594,-1.77059,1406.31,23.4611
331011957,0,-1.55611,-2.06293,1406.31,23.4268
331058990,0,-7.02618,-2.31938,1406.31,23.4239
331119380,0,-1.77985,-2.7153,1406.31,23.4668
331167341,0,-2.82721,-2.90609,1406.31,23.4525
331215223,0,-4.71248,-2.97833,1406.31,23.4268
331274771,0,-5.1314,-3.21818,1406.31,23.4211
331320693,0,-7.4594,-3.42016,1406.31,23.4611
331381284,0,-3.67463,-3.85933,1406.31,23.4696
331426562,0,-5.1314,-4.16082,1406.31,23.4211
331485406,0,-1.66084,-4.12829,1406.31,23.4253
331533560,0,-2.61775,-4.02308,1406.31,23.4554
331582257,0,-7.4594,-3.95345,1406.31,23.4611
331642884,0,-4.5125,-3.88284,1406.31,23.4582
331695914,0,-1.34662,-3.68836,1406.31,23.4296
331743459,0,-0.718208,-3.37694,1406.31,23.4382
331799296,0,-3.45562,-2.91193,1406.31,23.4439
331848914,0,-4.39825,-2.82206,1406.31,23.4311
331903529,0,-1.55611,-2.95476,1406.31,23.4268
331951535,0,-1.66084,-2.92218,1406.31,23.4253
332011539,0,-7.04045,-2.92749,1406.31,23.4668
332059574,0,-2.82721,-3.24695,1406.31,23.4525
332108717,0,-1.77985,-3.61176,1406.31,23.4668
332168468,0,-4.92194,-4.02645,1406.31,23.4239
332216771,0,-4.71248,-4.30694,1406.31,23.4268
332264895,0,-1.55611,-4.54822,1406.31,23.4268
332313406,0,-2.82721,-4.60566,1406.31,23.4525
332372599,0,-3.87457,-4.33048,1406.31,23.4382
332420484,0,-8.71622,-4.15169,1406.31,23.4439
332481387,0,-13.5484,-4.23305,1406.31,23.4211
332529150,0,-3.24616,-4.42963,1406.31,23.4468
332577672,0,-9.13518,-4.67718,1406.31,23.4382
332627001,0,-5.76936,-4.87087,1406.31,23.4411
332687561,0,-4.39825,-4.87348,1406.31,23.4311
332735437,0,-7.24992,-4.73307,1406.31,23.4639
332794405,0,-4.71248,-4.54991,1406.31,23.4268
332842431,0,-1.98931,-4.29616,1406.31,23.4639
332890315,0,-0.718208,-3.93238,1406.31,23.4382
332950417,0,-6.50249,-3.45201,1406.31,23.4311
332999230,0,-2.83672,-3.36094,1406.31,23.4811
333048839,0,-2.40826,-3.42634,1406.31,23.4582
333108970,0,-0.927673,-3.45032,1406.31,23.4353
333156760,0,-0.718208,-3.42109,1406.31,23.4382
333205014,0,-2.18452,-3.37632,1406.31,23.4182
333265705,0,-4.71248,-3.28782,1406.31,23.4268
333313047,0,-5.55986,-3.42593,1406.31,23.4439
333371983,0,-1.66084,-3.55791,1406.31,23.4253
333420006,0,-5.14091,-3.54102,1406.31,23.4496
333471364,0,-4.50298,-3.53947,1406.31,23.4296
333529573,0,-4.71248,-3.57513,1406.31,23.4268
333577763,0,0.11969,-3.46291,1406.31,23.4496
333623573,0,-5.37894,-3.25198,1406.31,23.5325
333677673,0,-3.87457,-3.0913,1406.31,23.4382
333737509,0,0.11969,-2.93322,1406.31,23.4496
333785529,0,-0.941948,-2.58707,1406.31,23.4782
333845407,0,-5.6646,-2.2076,1406.31,23.4425
333894648,0,-3.87457,-2.24826,1406.31,23.4382
333943191,0,-1.36089,-2.28953,1406.31,23.4725
333991812,0,-0.299255,-2.21579,1406.31,23.4439
334052825,0,-5.55986,-2.13782,1406.31,23.4439
334100081,0,-0.299255,-2.24024,1406.31,23.4439
334159909,0,-1.46563,-2.16534,1406.31,23.4711
334207422,0,-0.31353,-2.0107,1406.31,23.4868
334255160,0,2.00493,-1.87699,1406.31,23.4754
334314833,0,-0.718208,-1.66837,1406.31,23.4382
334363424,0,0.748108,-1.42775,1406.31,23.4582
334420912,0,1.18133,-1.22048,1406.31,23.4211
334464606,0,0.762383,-1.12009,1406.31,23.4153
334524480,0,-1.03243,-1.04215,1406.31,23.4339
334580710,0,-7.02618,-1.08412,1406.31,23.4239
334628955,0,-4.72199,-1.3078,1406.31,23.4554
334677219,0,-0.718208,-1.77134,1406.31,23.4382
334725637,0,-0.299255,-2.22228,1406.31,23.4439
334784891,0,-0.089798,-2.39457,1406.31,23.4468
334830921,0,-5.1314,-2.4697,1406.31,23.4211
334882752,0,-0.089798,-2.56573,1406.31,23.4468
334942481,0,-1.55611,-2.42859,1406.31,23.4268
334990192,0,-3.03667,-2.21879,1406.31,23.4496
335039400,0,3.27605,-2.04953,1406.31,23.4496
335102203,0,1.18133,-1.71405,1406.31,23.4211
335150768,0,-3.03667,-1.47678,1406.31,23.4496
335198639,0,-1.55611,-1.29506,1406.31,23.4268
335258606,0,-4.72199,-1.15244,1406.31,23.4554
335304524,0,-3.87457,-1.32119,1406.31,23.4382
335363857,0,-1.77985,-1.68818,1406.31,23.4668
335411982,0,-10.392,-2.08169,1406.31,23.4211
335459893,0,-5.97881,-2.61076,1406.31,23.4382
335520015,0,-3.87457,-3.23676,1406.31,23.4382
335568015,0,-2.18452,-3.60174,1406.31,23.4182
335627877,0,-1.34662,-3.75229,1406.31,23.4296
335676175,0,-5.6646,-3.7042,1406.31,23.4425
335724610,0,-8.29728,-3.83317,1406.31,23.4496
335785278,0,-3.88409,-4.14154,1406.31,23.4668
335833594,0,-1.55611,-4.24879,1406.31,23.4268
335881753,0,-0.403992,-4.26276,1406.31,23.4425
335941321,0,-3.45562,-4.17642,1406.31,23.4439
335989801,0,2.85711,-3.89692,1406.31,23.4439
336038714,0,-3.46513,-3.34792,1406.31,23.4725
336097433,0,-3.25568,-2.8809,1406.31,23.4754
336145716,0,0.0149307,-2.70189,1406.31,23.4482
336194525,0,2.12393,-2.43491,1406.31,23.4339
336255086,0,4.33293,-1.97883,1406.31,23.4353
336303849,0,4.33293,-1.34083,1406.31,23.4353
336351529,0,1.37652,-0.642075,1406.31,23.4668
336411591,0,1.60025,-0.0286207,1406.31,23.4268
336459186,0,0.748108,0.428188,1406.31,23.4582
336519532,0,2.52861,0.911601,1406.31,23.4825
336567596,0,-2.30353,1.15809,1406.31,23.4596
336614855,0,-0.927673,1.20916,1406.31,23.4353
336676462,0,-1.55611,1.18589,1406.31,23.4268
