timestamp,altitudeSp,altitude_filtered,flightPathAngleSp,flightPathAngle,flightPathAngleFiltered,airspeedSp,airspeed_filtered,airspeedDerivativeSp,airspeedDerivative,totalEnergyError,energyDistributionError,totalEnergyRateError,energyDistributionRateError,throttle_integ,pitch_integ,mode
630933136,338.5,338.49,0.000498962,0.0,0.0,17.0,15.5295,0.0294107,1.0811,24.0157,-23.8198,-3.26545,16.337,8.74615e-05,-0.0476396,0
630953144,338.519,338.493,0.000228882,-0.0691304,-0.0691304,17.0,15.5488,0.0290233,0.964494,23.8718,-23.3621,-5.38542,15.2257,0.000174434,-0.0943825,0
630973165,338.546,338.498,0.000595093,-0.144011,-0.144011,17.0,15.5671,0.0286584,0.833955,23.8088,-22.8572,-6.53194,13.9542,0.000261233,-0.140145,0
630993204,338.581,338.504,0.00124664,-0.221607,-0.221607,17.0,15.5835,0.0283295,0.677141,23.8313,-22.3225,-6.81062,12.2962,0.000348192,-0.184877,0
631013204,338.622,338.511,0.00230865,-0.304727,-0.304727,17.0,15.5968,0.0280637,0.51247,23.959,-21.7803,-6.35734,10.5662,0.000435447,-0.228437,0
631033219,338.668,338.518,0.00376129,-0.37875,-0.37875,17.0,15.6081,0.0278378,0.3488,24.1707,-21.2161,-5.33756,8.76077,0.000523539,-0.270901,0
631053257,338.721,338.525,0.00578156,-0.441956,-0.441956,17.0,15.6175,0.027649,0.196916,24.468,-20.6243,-3.92059,7.03434,0.000612816,-0.312228,0
631073313,338.778,338.532,0.00800476,-0.494516,-0.494516,17.0,15.6244,0.0275126,0.0467318,24.8538,-20.0251,-2.21092,5.22833,0.000703584,-0.352391,0
631093415,338.839,338.538,0.010611,-0.551071,-0.551071,17.0,15.6294,0.0274128,-0.0986622,25.3174,-19.4058,-0.273,3.53775,0.000796256,-0.3914,0
631113411,338.904,338.543,0.0135361,-0.600586,-0.600586,17.0,15.6323,0.0273547,-0.237217,25.8601,-18.7722,1.81327,1.88663,0.000890415,-0.428937,0
631133826,338.973,338.547,0.0167511,-0.638414,-0.638414,17.0,15.6333,0.0273347,-0.35618,26.4763,-18.1248,3.93472,0.429391,0.000988839,-0.465939,0
631153625,339.045,338.55,0.0203415,-0.669132,-0.669132,17.0,15.6325,0.0273499,-0.455116,27.1646,-17.46,6.00849,-0.78072,0.00108677,-0.500508,0
631173479,339.12,338.552,0.0240616,-0.713875,-0.713875,17.0,15.6297,0.0274059,-0.56812,27.9248,-16.7876,8.11571,-2.0712,0.00118773,-0.533838,0
631193488,339.197,338.552,0.02798,-0.756305,-0.756305,17.0,15.6251,0.0274979,-0.659637,28.7513,-16.1047,10.1781,-3.04535,0.00129248,-0.566062,0
631213661,339.277,338.551,0.0320892,-0.802931,-0.802931,17.0,15.6193,0.0276146,-0.729147,29.6346,-15.4036,12.1443,-3.63131,0.00140134,-0.597135,0
631233540,339.358,338.548,0.0363754,-0.854648,-0.854648,17.0,15.6119,0.0277613,-0.798272,30.5762,-14.6914,14.0422,-4.15801,0.00151202,-0.626341,0
631253518,339.442,338.544,0.0408371,-0.920284,-0.920284,17.0,15.6029,0.0279414,-0.85626,31.5797,-13.969,15.8781,-4.37075,0.0016269,-0.654248,0
631273530,339.527,338.537,0.0454758,-0.987679,-0.987679,17.0,15.5933,0.0281338,-0.891322,32.6277,-13.2209,17.5963,-4.20557,0.0017458,-0.680706,0
631293702,339.613,338.528,0.0502853,-1.07235,-1.07235,17.0,15.5827,0.0283458,-0.913474,33.7297,-12.4495,19.2141,-3.66684,0.0018697,-0.705819,0
631313598,339.701,338.517,0.0551941,-1.16238,-1.16238,17.0,15.5716,0.0285689,-0.926536,34.8715,-11.6553,20.7338,-2.9321,0.00199603,-0.729008,0
631353580,339.881,338.489,0.0656326,-1.3124,-1.3124,17.0,15.5497,0.0290057,-0.906104,37.2467,-9.95972,23.3053,-1.02683,0.0022628,-0.77057,0
631373634,339.972,338.473,0.0710175,-1.35799,-1.35799,17.0,15.5396,0.0292073,-0.862041,38.4545,-9.06519,24.2169,0.164088,0.00240323,-0.78875,0
631393827,340.064,338.456,0.0764572,-1.4017,-1.4017,17.0,15.531,0.0293795,-0.801397,39.6588,-8.12842,24.8533,1.593,0.00254905,-0.805163,0
631414284,340.157,338.438,0.0819962,-1.44784,-1.44784,17.0,15.5234,0.029532,-0.753742,40.8726,-7.15137,25.315,2.8435,0.0027013,-0.819793,0
631433700,340.251,338.418,0.0879318,-1.49058,-1.49058,17.0,15.5175,0.0296494,-0.704502,42.0728,-6.1333,25.6264,4.08771,0.00285005,-0.831701,0
631453698,340.345,338.398,0.0935883,-1.52194,-1.52194,17.0,15.5135,0.0297295,-0.633452,43.2605,-5.07007,25.7274,5.55467,0.00300758,-0.84184,0
631473704,340.44,338.376,0.0994354,-1.54648,-1.54648,17.0,15.5118,0.0297644,-0.570641,44.4267,-3.95801,25.6727,6.82757,0.00316943,-0.849759,0
631493774,340.535,338.354,0.10531,-1.5624,-1.5624,17.0,15.5126,0.0297477,-0.495286,45.5637,-2.79517,25.438,8.20997,0.00333595,-0.855369,0
631513743,340.631,338.332,0.111266,-1.58699,-1.58699,17.0,15.5156,0.0296875,-0.416152,46.6771,-1.58838,25.0648,9.73668,0.00350567,-0.858541,0
631533764,340.727,338.307,0.117665,-1.60793,-1.60793,17.0,15.5209,0.0295816,-0.347982,47.7803,-0.320801,24.6083,11.0622,0.00367986,-0.859183,0
631553769,340.824,338.282,0.123711,-1.63164,-1.63164,17.0,15.5283,0.0294335,-0.262009,48.8587,0.987549,24.0346,12.6885,0.00385784,-0.857207,0
631573796,340.921,338.257,0.129897,-1.64896,-1.64896,17.0,15.5382,0.0292365,-0.189549,49.909,2.34399,23.3965,14.0451,0.00403985,-0.852513,0
631593805,341.018,338.23,0.136176,-1.66613,-1.66613,17.0,15.5501,0.0289976,-0.101451,50.9375,3.74365,22.6578,15.6461,0.00422544,-0.845022,0
631615310,341.116,338.201,0.142577,-1.68031,-1.68031,17.0,15.5656,0.0286878,-0.0291273,51.9485,5.23657,21.8815,16.9765,0.00442886,-0.833761,0
631634096,341.214,338.173,0.14933,-1.70423,-1.70423,17.0,15.5817,0.028365,0.0538189,52.9261,6.71704,21.0613,18.5738,0.00460991,-0.821142,0
631653864,341.312,338.143,0.155736,-1.72222,-1.72222,17.0,15.6011,0.0279784,0.121814,53.8773,8.271,20.2396,19.8804,0.00480385,-0.804792,0
631673908,341.41,338.111,0.162598,-1.73239,-1.73239,17.0,15.6226,0.027548,0.216143,54.818,9.88354,19.3191,21.5299,0.00500393,-0.784982,0
631713952,341.607,338.049,0.175781,-1.64048,-1.64048,17.0,15.6734,0.0265328,0.412883,56.5645,13.2188,16.9332,23.8669,0.00541326,-0.735414,0
631733959,341.706,338.02,0.182344,-1.56045,-1.56045,17.0,15.7026,0.0259476,0.515681,57.3623,14.9346,15.4267,24.7811,0.00562224,-0.705535,0
631754112,341.805,337.993,0.188469,-1.47568,-1.47568,17.0,15.7338,0.025323,0.612004,58.1058,16.6599,13.7592,25.5505,0.00583547,-0.67196,0
631774815,341.904,337.964,0.195483,-1.40178,-1.40178,17.0,15.7692,0.0246157,0.709201,58.8043,18.4724,11.981,26.4592,0.00605715,-0.633717,0
631794597,342.003,337.938,0.201947,-1.31731,-1.31731,17.0,15.8059,0.0238815,0.793223,59.4541,20.2812,10.1325,27.059,0.00627132,-0.593596,0
631814195,342.103,337.914,0.208232,-1.23744,-1.23744,17.0,15.844,0.02312,0.888881,60.0615,22.0938,8.19806,27.8943,0.00648565,-0.550297,0
631836837,342.203,337.886,0.214977,-1.1385,-1.1385,17.0,15.8916,0.0221689,0.967016,60.5659,24.1074,6.21005,28.2882,0.00673536,-0.495713,0
631856809,342.304,337.864,0.221208,-1.03202,-1.03202,17.0,15.9366,0.0212677,1.05486,61.0483,26.0239,4.13164,28.7619,0.00695738,-0.443738,0
631874598,342.403,337.846,0.227689,-0.919457,-0.919457,17.0,15.9781,0.0204372,1.14659,61.5446,27.8455,1.95649,29.2434,0.00715674,-0.394204,0
631894711,342.503,337.826,0.233739,-0.798497,-0.798497,17.0,16.0289,0.0194225,1.23073,61.8977,29.8225,-0.293441,29.5387,0.00738343,-0.334222,0
631914757,342.602,337.81,0.239682,-0.672004,-0.672004,17.0,16.0827,0.0183463,1.32134,62.1732,31.8259,-2.63777,29.8963,0.00761038,-0.270423,0
631934764,342.702,337.795,0.245532,-0.553398,-0.553398,17.0,16.137,0.0172606,1.38977,62.4168,33.8186,-4.97286,29.9829,0.00783777,-0.202762,0
631954972,342.802,337.783,0.251309,-0.447594,-0.447594,17.0,16.1941,0.0161174,1.46369,62.5948,35.8447,-7.29594,30.296,0.0080681,-0.130327,0
