timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
327015088,0.037894,-0.00622018,-0.00955403,0.913752,0.010073,0.000367006,-0.406147
327070475,0.0526883,-0.0138796,-0.011468,0.913728,0.0102405,0.000228608,-0.406197
327078581,0.0526878,-0.0161131,-0.0129582,0.913702,0.0104077,8.51221e-05,-0.406252
327090505,0.0517402,-0.0173844,-0.0140183,0.91366,0.0106543,-0.000138403,-0.40634
327166576,0.0318373,-0.0304805,-0.0254143,0.913293,0.0117937,-0.00169278,-0.407129
327178549,0.0283483,-0.0265453,-0.0254167,0.913224,0.0118947,-0.00192286,-0.40728
327186618,0.0261091,-0.0232565,-0.0257362,0.913178,0.0119564,-0.00205606,-0.407381
327198489,0.0219692,-0.0177226,-0.0282983,0.913104,0.0120404,-0.00222353,-0.407543
327211243,0.0190831,-0.0132458,-0.0286134,0.913027,0.0121181,-0.00235771,-0.407711
327222605,0.0151503,-0.0113311,-0.0286134,0.912953,0.0121819,-0.00246343,-0.407876
327235282,0.0113182,-0.00856228,-0.0259541,0.912881,0.0122269,-0.00255374,-0.408034
327246564,0.00770387,-0.00802925,-0.0262737,0.912813,0.0122574,-0.00262473,-0.408186
327259446,0.00537011,-0.00548642,-0.0257499,0.912744,0.0122825,-0.00267897,-0.40834
327271215,0.00291385,-0.00250489,-0.0254262,0.912676,0.0122997,-0.00270631,-0.40849
327282571,0.00398543,-0.002284,-0.0244698,0.912611,0.012321,-0.00273352,-0.408635
327295007,0.00503158,-0.00154469,-0.0235179,0.912545,0.0123453,-0.00275401,-0.408781
327306635,0.00943627,-0.00110841,-0.0223495,0.912483,0.012393,-0.00278616,-0.408918
327318488,0.0102833,-0.00355768,-0.0240528,0.912417,0.0124501,-0.00283028,-0.409063
327326552,0.0156162,-0.00344895,-0.0221342,0.912375,0.0125028,-0.00287369,-0.409154
327338546,0.0181679,-0.0051559,-0.0222458,0.912314,0.0125986,-0.00294705,-0.409287
327350586,0.0234898,-0.0061078,-0.0217085,0.912251,0.0127119,-0.00303815,-0.409423
327362608,0.0269976,-0.00749523,-0.0200124,0.912194,0.0128447,-0.00314486,-0.409546
327374616,0.0325293,-0.00951709,-0.0173535,0.91214,0.0129997,-0.00327329,-0.409659
327384220,0.0352252,-0.00855948,-0.0143582,0.912107,0.0131292,-0.0033739,-0.409728
327395351,0.0361447,-0.00855931,-0.013847,0.912063,0.0133136,-0.00351756,-0.40982
327405060,0.0374281,-0.00962362,-0.0148033,0.912029,0.0134539,-0.00362682,-0.409888
327416147,0.0349769,-0.01037,-0.0134184,0.911985,0.0136323,-0.00377164,-0.40998
327424388,0.0354007,-0.00856023,-0.0116109,0.911958,0.0137522,-0.003868,-0.410034
327437060,0.0352903,-0.00643271,-0.00991214,0.911925,0.0139423,-0.00400123,-0.4101
327448121,0.0332688,-0.00111161,-0.00671083,0.911896,0.014127,-0.00410752,-0.410157
327456225,0.0326305,0.00293763,-0.0042675,0.911882,0.0142579,-0.00415977,-0.410185
327468205,0.0293455,0.00824142,-0.00245648,0.911864,0.0144487,-0.004209,-0.410217
327480132,0.0243516,0.0131384,-0.00097167,0.911852,0.014631,-0.00421915,-0.410237
327492225,0.0194524,0.0182602,-0.000657345,0.911843,0.0147986,-0.00419457,-0.410252
327504169,0.0150905,0.0231404,-0.000973155,0.911833,0.0149554,-0.00412984,-0.410268
327512204,0.0111451,0.0269756,9.09406e-05,0.911828,0.0150488,-0.00405987,-0.410276
327524191,0.00455576,0.0336766,8.96281e-05,0.911822,0.0151693,-0.00391282,-0.410287
327536185,-0.00163013,0.0375106,0.00243611,0.911819,0.0152721,-0.00372465,-0.410291
327548631,-0.00566701,0.0420748,0.00338884,0.911822,0.0153582,-0.0035007,-0.410283
327561250,-0.0138708,0.0412395,0.00360599,0.911828,0.0154083,-0.00325796,-0.410271
327572775,-0.0159984,0.0425079,0.00392234,0.911833,0.015439,-0.00300082,-0.41026
327585179,-0.0230192,0.047302,0.00338331,0.911839,0.0154468,-0.00271307,-0.410248
327596623,-0.0311116,0.0524086,0.00295922,0.911844,0.0154209,-0.00237862,-0.41024
327608942,-0.0371608,0.0601713,-0.000553503,0.911843,0.0153811,-0.00198938,-0.410245
327616690,-0.0438803,0.0619818,-0.00151853,0.91184,0.0153349,-0.00170032,-0.410255
327628651,-0.0498082,0.0665595,-0.00417189,0.911832,0.0152428,-0.00123651,-0.410279
327640322,-0.0570715,0.0658133,-0.00651559,0.911818,0.0151121,-0.000745869,-0.410316
327648863,-0.0572766,0.0642184,-0.00853555,0.911804,0.0150143,-0.000421139,-0.410351
327662398,-0.057516,0.0645513,-0.0118361,0.911777,0.0148656,6.43595e-05,-0.410418
327672265,-0.0578184,0.0621157,-0.0141888,0.911744,0.014696,0.000549873,-0.410497
327681281,-0.0557055,0.0633816,-0.0161933,0.911717,0.0145988,0.000868845,-0.410559
327692179,-0.0484472,0.0616787,-0.018223,0.911672,0.0144728,0.0013388,-0.410662
327700181,-0.0453816,0.0602964,-0.0196038,0.91164,0.0144071,0.00163422,-0.410735
327712181,-0.0391974,0.0549577,-0.0207878,0.911587,0.0143248,0.00205099,-0.410853
327724265,-0.0309111,0.0477512,-0.0208784,0.911532,0.0142669,0.00240939,-0.410975
327733073,-0.0280177,0.0397433,-0.0212004,0.911496,0.0142306,0.00261151,-0.411055
327744207,-0.0221786,0.0309234,-0.0206687,0.911442,0.0141876,0.00285424,-0.411174
327756155,-0.015911,0.0224096,-0.0158785,0.911396,0.0141583,0.00303515,-0.411276
327764229,-0.0115577,0.0171959,-0.0139781,0.911369,0.0141431,0.00312382,-0.411335
327777137,-0.00653559,0.0147464,-0.00916679,0.91134,0.0141389,0.00322802,-0.411398
327784161,-0.00239155,0.0126206,-0.00651601,0.911326,0.0141493,0.00328161,-0.411429
327796785,0.00143805,0.0121975,-0.000119543,0.911316,0.0141804,0.00334481,-0.411449
327808183,0.00463555,0.0110222,0.00392278,0.911319,0.0142341,0.00339929,-0.411442
327816876,0.00889501,0.00953241,0.00818812,0.911328,0.0142801,0.00342086,-0.411419
327828181,0.0129386,0.00899953,0.0140316,0.911354,0.0143682,0.00344321,-0.411359
327838436,0.0163237,0.0095315,0.0173734,0.911383,0.0144583,0.0034525,-0.411291
327849782,0.0198488,0.00644531,0.0227541,0.911431,0.0145796,0.00344718,-0.411181
327857767,0.0210228,0.00591334,0.0260565,0.91147,0.0146659,0.00343448,-0.41109
327870491,0.0226217,0.00419794,0.0288259,0.911536,0.0148045,0.00339761,-0.41094
327882721,0.0226227,0.00207011,0.031061,0.911607,0.0149371,0.00335389,-0.410777
327893756,0.0244335,-0.000587642,0.0340455,0.911687,0.0150695,0.00329323,-0.410597
327905806,0.0235773,-0.00292759,0.0359546,0.91177,0.0151929,0.00322164,-0.410409
327914655,0.02123,-0.00325248,0.0384071,0.91183,0.0152693,0.00316904,-0.410272
327926252,0.020919,-0.00378376,0.0383009,0.911921,0.0153736,0.00309802,-0.410067
327938610,0.0161269,-0.00527011,0.0374421,0.912013,0.0154558,0.0030295,-0.409858
327950471,0.0137915,-0.0053793,0.0353192,0.912101,0.0155194,0.00296365,-0.409662
327961840,0.00771387,-0.00730409,0.0333997,0.912185,0.0155578,0.00290058,-0.409472
327970436,0.00357304,-0.00825301,0.0312756,0.912237,0.0155635,0.00286334,-0.409358
327982342,0.00228494,-0.0105975,0.0266993,0.912306,0.015554,0.00280027,-0.409205
327994788,-0.00111181,-0.0115491,0.0213841,0.912364,0.0155233,0.0027388,-0.409077
328006264,-0.00388151,-0.0105951,0.0195751,0.912414,0.0154809,0.0026864,-0.408966
328018587,-0.00504076,-0.00963471,0.0138218,0.912453,0.0154363,0.00264313,-0.408881
328025752,-0.00461241,-0.00846607,0.0119183,0.912474,0.0154042,0.0026176,-0.408835
328037728,-0.00611294,-0.0075079,0.00531217,0.912493,0.0153571,0.00258703,-0.408795
328050513,-0.00717552,-0.00644366,0.000846862,0.912501,0.0153007,0.00256873,-0.408779
328062691,-0.00845029,-0.00687134,-0.00416412,0.912496,0.0152392,0.00255054,-0.408794
328073785,-0.00749506,-0.0109146,-0.0084236,0.91248,0.0151745,0.00251551,-0.408831
328082770,-0.00673901,-0.00974661,-0.0108624,0.912464,0.0151325,0.00249054,-0.408869
328095269,-0.00344555,-0.00963677,-0.0160762,0.91243,0.0150779,0.00245315,-0.408947
328106468,-0.00142477,-0.00782533,-0.0192617,0.912389,0.0150422,0.00241173,-0.409041
328114898,0.00134135,-0.00762391,-0.0211845,0.912356,0.0150315,0.00238236,-0.409114
328126192,0.00857953,-0.00718957,-0.0222487,0.912304,0.0150434,0.00233072,-0.409231
328137702,0.0158141,-0.00623203,-0.0243808,0.912245,0.0151011,0.00226039,-0.40936
328146442,0.019017,-0.00782621,-0.0242697,0.912204,0.0151554,0.00220482,-0.409449
328158695,0.0256093,-0.0109139,-0.0266158,0.91214,0.0152604,0.0020984,-0.40959
328166459,0.029558,-0.00932605,-0.0255451,0.912096,0.0153481,0.0020164,-0.409685
328177770,0.03423,-0.011446,-0.0226781,0.912036,0.0154957,0.00187107,-0.409813
328190406,0.0389122,-0.0119806,-0.0231022,0.911977,0.0156704,0.00171252,-0.409939
328201829,0.0405118,-0.0132464,-0.0238436,0.911919,0.0158578,0.00154594,-0.410062
328213768,0.0435778,-0.0128432,-0.0227768,0.91186,0.0160581,0.00137305,-0.410186
328221837,0.0463571,-0.0135717,-0.0222496,0.911821,0.016205,0.00125041,-0.410267
328234595,0.0457272,-0.0126245,-0.0215036,0.911763,0.0164255,0.00106438,-0.410387
328245746,0.0467883,-0.0100635,-0.0224657,0.911705,0.0166496,0.000889322,-0.410506
328254633,0.044232,-0.00857228,-0.0220408,0.911668,0.0167986,0.000785787,-0.410585
328265768,0.0433843,-0.00793343,-0.02172,0.911611,0.0170183,0.000633269,-0.4107
328279425,0.0417871,-0.0061274,-0.0219337,0.911554,0.0172332,0.000496184,-0.410819
328290635,0.0404617,-0.00387504,-0.020565,0.911496,0.0174656,0.000358854,-0.410938
328300031,0.0388047,-0.00293641,-0.0210785,0.911455,0.0176209,0.000274581,-0.411023
328311415,0.0367812,-0.00219072,-0.0200149,0.911404,0.0178213,0.000170144,-0.411127
328324251,0.0332721,-0.00314832,-0.0190575,0.911354,0.0180039,7.139e-05,-0.411229
328335413,0.0306239,-0.00367454,-0.0170418,0.911308,0.0181702,-2.4658e-05,-0.411324
328347359,0.0250733,-0.00527807,-0.0158673,0.911266,0.0183074,-0.000114289,-0.411411
328355547,0.0215685,-0.00655885,-0.0159728,0.911238,0.0183796,-0.000174623,-0.411469
328368491,0.0154867,-0.00953617,-0.013846,0.9112,0.0184585,-0.000262582,-0.411551
328379419,0.00623552,-0.00868387,-0.0149109,0.911164,0.0184893,-0.000330949,-0.41163
328392621,-0.00185148,-0.00783681,-0.01405,0.911129,0.0184723,-0.000378394,-0.411707
328403351,-0.0112147,-0.00464579,-0.0116066,0.911101,0.0184139,-0.000391409,-0.411771
328412306,-0.0165356,-0.00251128,-0.0105428,0.911085,0.0183525,-0.000376929,-0.41181
328423300,-0.0255832,0.000679895,-0.00670668,0.911069,0.0182311,-0.000324004,-0.41185
328435834,-0.0317478,0.00536162,-0.00341531,0.911062,0.018079,-0.000230808,-0.411873
328448241,-0.0352929,0.0104931,-0.00309266,0.911059,0.0178983,-8.64533e-05,-0.411887
328456636,-0.0397337,0.0118557,-0.00192623,0.911059,0.0177779,1.96092e-05,-0.411892
328468152,-0.0417319,0.0133419,0.00116474,0.911065,0.0175846,0.000186701,-0.411886
328480202,-0.0398067,0.0174945,0.00361254,0.911078,0.0174074,0.00037083,-0.411866
328488167,-0.0390696,0.0195143,0.00541886,0.911089,0.0173001,0.000501128,-0.411845
328500229,-0.0379947,0.0213224,0.0080758,0.911111,0.0171451,0.000704103,-0.411803
328512221,-0.0382014,0.0214342,0.0110675,0.911141,0.016993,0.000913257,-0.411744
328520208,-0.0372478,0.0217524,0.011803,0.911163,0.0168971,0.00104734,-0.411699
328532224,-0.0374761,0.0217554,0.0139312,0.9112,0.0167529,0.00125324,-0.411622
328540165,-0.0385163,0.0212195,0.013928,0.911225,0.0166526,0.001391,-0.411569
328552187,-0.0387415,0.0208953,0.0163787,0.911266,0.0164979,0.0015979,-0.411485
328564218,-0.0374639,0.0202611,0.0190348,0.911314,0.0163505,0.00179317,-0.411384
328572415,-0.0358698,0.0222822,0.0203117,0.911349,0.0162581,0.00192953,-0.411309
328584181,-0.0353332,0.0212195,0.0204189,0.911401,0.0161253,0.00213161,-0.411197
328596177,-0.0323527,0.022282,0.0230922,0.91146,0.0159993,0.00232511,-0.411071
328604919,-0.0299018,0.0212197,0.0256318,0.911507,0.0159194,0.00246004,-0.410968
