timestamp,time_utc_usec,lat,lon,delta_lat_lon[0],delta_lat_lon[1],alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,pressure_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
327015190,1492463069399994,45.2206008922,-93.1453396551,5.39341726835e-09,-1.30528974296e-08,277.362,-0.0,-0.0779695,-0.0055951,0.0110656,-0.836432,0.5023,0.245813,0.0,203.675,1,0,0,0
327230863,1492463069399994,45.220600914,-93.1453395758,5.39341726835e-09,-1.30528974296e-08,277.352,-0.0,-0.0745231,-0.0105835,0.0230216,-0.840492,0.49632,0.244996,0.0,203.589,1,0,0,0
327330773,1492463070399994,45.2206009584,-93.1453394896,5.39341016292e-09,-1.30528974296e-08,277.347,-0.0,-0.0721366,-0.00851512,0.0197952,-0.843161,0.48504,0.245154,0.0,203.844,1,0,0,0
327432318,1492463070399994,45.220601013,-93.145339351,5.39341726835e-09,-1.30528832187e-08,277.338,-0.0,-0.0719827,-0.00374548,0.0156194,-0.845111,0.498251,0.245327,0.0,203.76,1,0,0,0
327536287,1492463070399994,45.2206010927,-93.1453392289,5.3673545608e-09,-1.30529116404e-08,277.331,-0.0,-0.0702041,-0.00369503,0.00718798,-0.845569,0.485918,0.244797,0.0,203.76,1,0,0,0
327637440,1492463070399994,45.2206011612,-93.1453391334,5.3673545608e-09,-1.30528974296e-08,277.327,-0.0,-0.0667631,-0.00669389,0.00812743,-0.845522,0.500529,0.24552,0.0,203.42,1,0,0,0
327736228,1492463070399994,45.2206011164,-93.1453390537,5.39341016292e-09,-1.30528974296e-08,277.325,-0.0,-0.0743041,-0.00882811,0.0153924,-0.847207,0.489081,0.245432,0.0,203.589,1,0,0,0
327838609,1492463070399994,45.2206010514,-93.1453390008,5.3673545608e-09,-1.30529116404e-08,277.324,-0.0,-0.0749046,-0.00600736,0.0169719,-0.847625,0.502017,0.245374,0.0,203.76,1,0,0,0
327941964,1492463070399994,45.2206010201,-93.1453389661,5.39341016292e-09,-1.30528974296e-08,277.323,-0.0,-0.0724882,-0.00945323,0.0183809,-0.844327,0.488375,0.246233,0.0,203.76,1,0,0,0
328042799,1492463070399994,45.2206009814,-93.1453389582,5.3673545608e-09,-1.30528832187e-08,277.323,-0.0,-0.0780498,-0.0184629,0.0197694,-0.842134,0.502937,0.246864,0.0,203.844,1,0,0,0
328142230,1492463070399994,45.2206009382,-93.1453389465,5.36736166623e-09,-1.30529116404e-08,277.322,-0.0,-0.0858175,-0.0237757,0.0205903,-0.843497,0.489542,0.246176,0.0,203.42,1,0,0,0
328245852,1492463070399994,45.2206008854,-93.145338939,5.39341016292e-09,-1.30528832187e-08,277.32,-0.0,-0.0880645,-0.0276581,0.0196285,-0.845916,0.503629,0.246589,0.0,203.844,1,0,0,0
328347469,1492463071399995,45.2206008376,-93.1453389325,5.39341016292e-09,-1.30529116404e-08,277.318,-0.0,-0.0915853,-0.0355822,0.0160231,-0.847907,0.490201,0.245817,0.0,203.675,1,0,0,0
328448344,1492463071399995,45.2206007759,-93.1453389483,5.36734745538e-09,-1.30528832187e-08,277.312,-0.0,-0.101614,-0.0383349,0.014885,-0.848953,0.503208,0.245767,0.0,203.589,1,0,0,0
328548824,1492463071399995,45.2206007869,-93.1453388862,5.39341016292e-09,-1.30529116404e-08,277.306,-0.0,-0.101423,-0.0363399,0.0137467,-0.848121,0.492824,0.246246,0.0,203.42,1,0,0,0
328649842,1492463071399995,45.2206007686,-93.1453388509,5.39341016292e-09,-1.30528974296e-08,277.303,-0.0,-0.102063,-0.0408551,0.0164176,-0.845624,0.481538,0.246153,0.0,203.844,1,0,0,0
328754720,1492463071399995,45.2206007499,-93.145338766,5.39341726835e-09,-1.30529116404e-08,277.3,-0.0,-0.0939827,-0.0500162,0.0189999,-0.842498,0.494767,0.246373,0.0,203.844,1,0,0,0
328853832,1492463071399995,45.2206007126,-93.1453387328,5.36736166623e-09,-1.30529116404e-08,277.294,-0.0,-0.0929816,-0.0380596,0.0304775,-0.840117,0.507673,0.24618,0.0,203.929,1,0,0,0
328954176,1492463071399995,45.2206007429,-93.1453387593,5.39342437378e-09,-1.30528974296e-08,277.288,-0.0,-0.0915058,-0.036677,0.0349608,-0.838955,0.494409,0.24563,0.0,203.335,1,0,0,0
329055663,1492463071399995,45.2206007672,-93.1453387924,5.39341016292e-09,-1.30529116404e-08,277.287,-0.0,-0.0865081,-0.0501343,0.0302173,-0.838325,0.482535,0.245314,0.0,203.675,1,0,0,0
329159499,1492463071399995,45.2206008123,-93.1453387048,5.39341726835e-09,-1.30528974296e-08,277.292,-0.0,-0.0788358,-0.0486496,-0.000885709,-0.836992,0.496777,0.245932,0.0,204.014,1,0,0,0
329259489,1492463071399995,45.2206008345,-93.1453386797,5.36736166623e-09,-1.30529116404e-08,277.298,-0.0,-0.0351729,-0.0527651,-0.0001683,-0.827592,0.508407,0.245167,0.0,203.844,1,0,0,0
329360172,1492463072399995,45.2206008893,-93.1453386476,5.39341726835e-09,-1.30529116404e-08,277.302,-0.0,-0.00421541,-0.0692027,0.047181,-0.813945,0.495902,0.244929,0.0,204.014,1,0,0,0
329463543,1492463072399995,45.220600938,-93.145338668,5.3673545608e-09,-1.30528974296e-08,277.301,-0.0,0.00207912,-0.0741486,0.0805006,-0.80477,0.509188,0.244852,0.0,204.099,1,0,0,0
329565141,1492463072399995,45.2206010504,-93.1453386103,5.36736877166e-09,-1.30529116404e-08,277.294,-0.0,-0.0196045,-0.0792569,0.140248,-0.802962,0.496881,0.244754,0.0,203.589,1,0,0,0
329665095,1492463072399995,45.2206011195,-93.1453386013,5.39341016292e-09,-1.30529116404e-08,277.286,-0.0,-0.0227909,-0.0894504,0.1333,-0.805207,0.484183,0.244202,0.0,203.675,1,0,0,0
329769072,1492463072399995,45.2206011218,-93.1453384722,5.39341726835e-09,-1.30528974296e-08,277.277,-0.0,-0.00750436,-0.0646746,0.110346,-0.796906,0.498697,0.244898,0.0,203.929,1,0,0,0
329869003,1492463072399995,45.2206011086,-93.1453383739,5.39341016292e-09,-1.30528974296e-08,277.267,-0.0,-0.0492248,-0.0105887,0.0891364,-0.779853,0.485818,0.244348,0.0,203.76,1,0,0,0
329971185,1492463072399995,45.2206010382,-93.1453382494,5.39341726835e-09,-1.30528974296e-08,277.26,-0.0,-0.0999718,-0.0305636,0.037535,-0.763044,0.500744,0.245191,0.0,203.504,1,0,0,0
330071193,1492463072399995,45.2206009563,-93.1453381654,5.3673545608e-09,-1.30528974296e-08,277.259,-0.0,-0.0698726,-0.0377631,0.0187381,-0.758985,0.487708,0.244646,0.0,203.589,1,0,0,0
330174670,1492463072399995,45.2206009084,-93.1453380124,5.3673545608e-09,-1.30528974296e-08,277.262,-0.0,-0.0734593,-0.000376087,0.0164174,-0.752422,0.500018,0.244366,0.0,203.929,1,0,0,0
330276332,1492463073399995,45.2206008567,-93.1453378856,5.39341016292e-09,-1.30528974296e-08,277.261,-0.0,-0.0805931,-0.0137305,0.0211863,-0.752992,0.486513,0.243696,0.0,203.589,1,0,0,0
