timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
326849080,1492463069399994,452206015,-931453379,278247,247212,0.42,0.633545,1.306,1.729,0.81,1.12,90,3,0.17,0.17,-0.03,0.0,6.26387,-594879,3,1,10
327234073,1492463070399994,452206017,-931453376,278202,247167,0.42,0.63358,1.313,1.726,0.81,1.12,90,4,0.16,0.06,0.12,-0.08,6.26387,23016,3,1,10
327435076,1492463070399994,452206018,-931453374,278213,247177,0.42,0.633599,1.316,1.725,0.81,1.12,90,4,0.09,0.09,-0.02,-0.02,6.26387,-177987,3,1,10
327634273,1492463070399994,452206016,-931453373,278210,247175,0.46,0.633619,1.318,1.724,0.81,1.12,90,4,0.28,-0.24,-0.02,-0.15,6.26387,-377184,3,1,10
327839126,1492463070399994,452206014,-931453373,278186,247150,0.41,0.633637,1.32,1.723,0.81,1.12,90,4,0.17,0.01,-0.07,-0.15,6.26387,-582037,3,1,10
328037227,1492463070399994,452206013,-931453372,278154,247119,0.45,0.633656,1.321,1.721,0.81,1.12,90,5,0.04,-0.04,-0.01,-0.02,6.26387,-780138,3,1,10
328235249,1492463071399995,452206013,-931453373,278119,247084,0.43,0.633675,1.322,1.718,0.81,1.12,90,5,0.13,-0.05,-0.04,-0.11,6.26387,20831,3,1,10
328437200,1492463071399995,452206013,-931453372,278117,247082,0.43,0.633693,1.323,1.715,0.81,1.12,90,5,0.1,0.09,0.05,0.03,6.26387,-181120,3,1,10
328633074,1492463071399995,452206012,-931453370,278118,247083,0.42,0.633712,1.324,1.712,0.81,1.12,90,5,0.08,-0.06,0.04,-0.03,6.26387,-376994,3,1,10
328840152,1492463071399995,452206013,-931453371,278074,247039,0.4,0.633729,1.325,1.71,0.81,1.12,90,5,0.19,0.09,-0.17,0.02,6.26387,-584072,3,1,10
329034667,1492463071399995,452206014,-931453370,277995,246959,0.42,0.633747,1.327,1.709,0.81,1.12,90,5,0.17,0.03,0.13,-0.1,6.26387,-778587,3,1,10
329238083,1492463072399995,452206013,-931453367,277938,246903,0.41,0.633764,1.327,1.705,0.81,1.12,90,5,0.09,-0.06,-0.04,0.04,6.26387,21917,3,1,10
329437071,1492463072399995,452206014,-931453366,277879,246844,0.43,0.633783,1.326,1.701,0.81,1.12,90,5,0.15,0.14,0.03,0.05,6.26387,-177071,3,1,10
329636227,1492463072399995,452206014,-931453364,277822,246787,0.37,0.633799,1.325,1.698,0.81,1.12,90,5,0.21,-0.12,0.09,0.15,6.26387,-376227,3,1,10
329836072,1492463072399995,452206012,-931453363,277797,246762,0.42,0.633818,1.322,1.695,0.81,1.12,90,5,0.25,-0.02,-0.1,0.23,6.26387,-576072,3,1,10
330037069,1492463072399995,452206012,-931453362,277715,246680,0.44,0.633837,1.321,1.696,0.81,1.12,90,5,0.3,0.0,0.09,0.29,6.26387,-777069,3,1,10
330234070,1492463073399995,452206013,-931453358,277683,246648,0.49,0.633858,1.321,1.7,0.81,1.12,90,5,0.22,0.13,0.13,0.13,6.26387,22191,3,1,10
330438194,1492463073399995,452206015,-931453354,277614,246579,0.51,0.63388,1.321,1.703,0.81,1.12,90,5,0.26,0.11,0.1,0.21,6.26387,-181933,3,1,10
330638066,1492463073399995,452206015,-931453351,277611,246576,0.4,0.633898,1.32,1.704,0.81,1.12,90,5,0.09,-0.08,0.04,0.04,6.26387,-381805,3,1,10
330842064,1492463073399995,452206014,-931453349,277604,246568,0.38,0.633914,1.318,1.706,0.81,1.12,90,5,0.06,0.0,-0.06,-0.01,6.26387,-585803,3,1,10
331042589,1492463073399995,452206014,-931453349,277594,246559,0.45,0.633934,1.317,1.709,0.81,1.12,90,5,0.13,0.04,-0.07,0.11,6.26387,-786328,3,1,10
331240070,1492463074399995,452206012,-931453350,277599,246564,0.49,0.633955,1.316,1.713,0.81,1.12,90,5,0.24,-0.19,-0.14,-0.07,6.26387,22019,3,1,10
331437649,1492463074399995,452206011,-931453352,277605,246570,0.46,0.633975,1.315,1.715,0.81,1.12,90,5,0.29,0.02,-0.14,-0.25,6.26387,-175560,3,1,10
331640069,1492463074399995,452206010,-931453350,277642,246606,0.47,0.633995,1.315,1.719,0.81,1.12,90,5,0.22,-0.08,0.09,-0.18,6.26387,-377980,3,1,10
331834904,1492463074399995,452206010,-931453349,277690,246654,0.48,0.634015,1.319,1.727,0.81,1.12,90,5,0.28,0.01,-0.04,-0.28,6.26387,-572815,3,1,10
332042450,1492463074399995,452206011,-931453348,277697,246662,0.48,0.634036,1.322,1.734,0.81,1.12,90,6,0.08,0.0,-0.03,-0.07,6.26387,-780361,3,1,10
332234071,1492463075399996,452206012,-931453345,277679,246644,0.48,0.634057,1.322,1.736,0.81,1.12,90,6,0.08,0.08,0.03,-0.02,6.26387,21999,3,1,10
332438065,1492463075399996,452206014,-931453342,277647,246612,0.39,0.634074,1.323,1.737,0.81,1.12,90,6,0.06,0.05,-0.02,-0.02,6.26387,-181995,3,1,10
332636073,1492463075399996,452206015,-931453340,277595,246560,0.5,0.634095,1.322,1.741,0.81,1.12,90,6,0.12,-0.07,-0.04,-0.09,6.26387,-380003,3,1,10
332848070,1492463075399996,452206015,-931453339,277637,246602,0.49,0.634117,1.324,1.748,0.81,1.12,90,6,0.05,-0.01,0.0,-0.05,6.26387,-592000,3,1,10
333042071,1492463075399996,452206015,-931453338,277627,246592,0.43,0.634135,1.327,1.757,0.81,1.12,90,3,0.09,0.06,-0.03,-0.07,6.26387,-786001,3,1,10
333241215,1492463076399996,452206018,-931453336,277620,246584,0.42,0.634153,1.328,1.764,0.81,1.12,90,3,0.18,0.1,-0.03,-0.15,6.26387,22142,3,1,10
333435221,1492463076399996,452206020,-931453334,277629,246594,0.4,0.634171,1.325,1.764,0.81,1.12,90,3,0.18,0.15,-0.03,-0.09,6.26387,-171864,3,1,10
333637501,1492463076399996,452206023,-931453332,277627,246591,0.39,0.634187,1.323,1.767,0.81,1.12,90,3,0.15,0.13,-0.02,-0.06,6.26387,-374144,3,1,10
333831082,1492463076399996,452206026,-931453333,277574,246539,0.36,0.634203,1.32,1.766,0.81,1.12,90,3,0.26,0.08,-0.23,-0.07,6.26387,-567725,3,1,10
334040071,1492463076399996,452206027,-931453339,277601,246566,0.4,0.63422,1.318,1.768,0.81,1.12,90,3,0.36,-0.02,-0.36,-0.03,6.26387,-776714,3,1,10
334234436,1492463077399996,452206028,-931453342,277634,246599,0.39,0.634237,1.318,1.769,0.81,1.12,90,4,0.14,0.08,-0.06,-0.1,6.26387,21765,3,1,10
334429069,1492463077399996,452206030,-931453343,277728,246692,0.42,0.634255,1.321,1.775,0.81,1.12,90,4,0.19,0.11,-0.07,-0.15,6.26387,-172868,3,1,10
334636423,1492463077399996,452206035,-931453341,277711,246676,0.5,0.634277,1.324,1.783,0.81,1.12,90,4,0.37,0.33,0.16,-0.04,6.26387,-380222,3,1,10
334835080,1492463077399996,452206041,-931453335,277740,246705,0.44,0.634299,1.328,1.788,0.81,1.12,90,4,0.52,0.27,0.25,-0.37,6.26387,-578879,3,1,10
335035103,1492463077399996,452206046,-931453329,277738,246703,0.43,0.634318,1.331,1.795,0.81,1.12,90,4,0.39,0.22,0.21,-0.26,6.26387,-778902,3,1,10
335239079,1492463078399996,452206050,-931453323,277792,246757,0.43,0.634337,1.335,1.801,0.81,1.12,90,4,0.37,0.18,0.19,-0.27,6.26387,23595,3,1,10
335433237,1492463078399996,452206054,-931453317,277796,246761,0.43,0.63436,1.339,1.807,0.81,1.12,90,4,0.54,0.27,0.22,-0.41,6.26387,-170563,3,1,10
335635370,1492463078399996,452206059,-931453315,277864,246829,0.45,0.63438,1.343,1.816,0.81,1.12,90,4,0.46,0.23,-0.09,-0.38,6.26387,-372696,3,1,10
335834069,1492463078399996,452206062,-931453318,277879,246844,0.46,0.634403,1.346,1.824,0.81,1.12,90,4,0.53,0.13,-0.17,-0.49,6.26387,-571395,3,1,10
336035077,1492463078399996,452206066,-931453324,277894,246859,0.45,0.634423,1.352,1.833,0.81,1.12,89,3,0.47,0.19,-0.39,0.19,6.26387,-772403,3,1,10
336237247,1492463079399997,452206068,-931453331,277851,246816,0.54,0.634447,1.358,1.844,0.81,1.12,89,3,0.29,-0.01,-0.22,-0.18,6.26387,22824,3,1,10
336433157,1492463079399997,452206070,-931453334,277893,246858,0.53,0.634469,1.366,1.86,0.81,1.12,89,3,0.37,0.19,-0.15,-0.29,6.26387,-173086,3,1,10
336629198,1492463079399997,452206075,-931453336,277916,246880,0.54,0.634492,1.375,1.875,0.81,1.12,89,3,0.36,0.28,-0.09,-0.19,6.26387,-369127,3,1,10
336837088,1492463079399997,452206082,-931453339,277936,246900,0.51,0.634527,1.385,1.888,0.81,1.12,89,3,0.79,0.47,-0.19,-0.61,6.26387,-577017,3,1,10
337033076,1492463079399997,452206086,-931453338,277916,246881,0.53,0.634549,1.393,1.901,0.81,1.12,89,3,0.4,-0.06,0.19,0.35,6.26387,-773005,3,1,10
337236094,1492463080399997,452206090,-931453335,277882,246846,0.5,0.634571,1.401,1.913,0.81,1.12,89,2,0.49,0.41,0.01,-0.28,6.26387,22146,3,1,10
337431070,1492463080399997,452206097,-931453336,277946,246911,0.5,0.634595,1.408,1.926,0.81,1.12,89,2,0.56,0.38,-0.1,-0.4,6.26387,-172830,3,1,10
337634106,1492463080399997,452206103,-931453337,277982,246946,0.47,0.634616,1.416,1.937,0.81,1.12,89,2,0.41,0.29,0.05,-0.28,6.26387,-375866,3,1,10
337830072,1492463080399997,452206109,-931453340,277972,246937,0.54,0.634639,1.422,1.947,0.81,1.12,89,2,0.36,0.25,-0.24,-0.11,6.26387,-571832,3,1,10
338034110,1492463080399997,452206111,-931453347,277906,246871,0.53,0.634662,1.428,1.956,0.81,1.12,89,2,0.36,0.08,-0.25,-0.25,6.26387,-775870,3,1,10
338235170,1492463081399997,452206111,-931453354,277900,246864,0.5,0.634684,1.432,1.964,0.81,1.12,89,4,0.28,-0.07,-0.2,-0.18,6.26387,22056,3,1,10
338431078,1492463081399997,452206109,-931453356,277927,246891,0.53,0.634707,1.436,1.971,0.81,1.12,89,4,0.24,-0.11,0.11,-0.19,6.26387,-173852,3,1,10
338633156,1492463081399997,452206106,-931453351,277960,246924,0.5,0.634728,1.439,1.978,0.81,1.12,89,4,0.4,-0.19,0.33,-0.12,6.26387,-375930,3,1,10
338842439,1492463081399997,452206105,-931453348,277936,246900,0.41,0.634746,1.441,1.983,0.81,1.12,89,4,0.11,0.03,0.08,-0.07,6.26387,-585213,3,1,10
339032043,1492463081399997,452206103,-931453346,277964,246928,0.49,0.634767,1.443,1.987,0.81,1.12,89,4,0.44,-0.25,0.26,-0.25,6.26387,-774817,3,1,10
339234065,1492463082399997,452206100,-931453345,277936,246901,0.53,0.63479,1.445,1.991,0.81,1.12,89,4,0.2,-0.08,-0.1,-0.15,6.26387,22600,3,1,10
339434628,1492463082399997,452206098,-931453346,277877,246842,0.43,0.634808,1.447,1.996,0.81,1.12,89,4,0.18,-0.06,0.16,-0.06,6.26387,-177963,3,1,10
339636067,1492463082399997,452206097,-931453345,277837,246802,0.42,0.634826,1.449,2.0,0.81,1.12,89,4,0.09,-0.02,0.07,-0.06,6.26387,-379402,3,1,10
339833070,1492463082399997,452206096,-931453346,277881,246845,0.5,0.634848,1.45,2.003,0.81,1.12,89,4,0.23,-0.12,-0.13,-0.15,6.26387,-576405,3,1,10
340036033,1492463082399997,452206094,-931453348,277842,246806,0.42,0.634866,1.451,2.007,0.81,1.12,89,4,0.07,-0.03,0.06,-0.03,6.26387,-779368,3,1,10
340233566,1492463083399997,452206093,-931453349,277781,246745,0.5,0.634888,1.453,2.01,0.81,1.12,89,4,0.15,-0.07,-0.01,-0.14,6.26387,21635,3,1,10
340443078,1492463083399997,452206092,-931453351,277753,246718,0.49,0.634909,1.453,2.012,0.81,1.12,89,4,0.3,-0.09,-0.14,-0.25,6.26387,-187877,3,1,10
