timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,estimator_type,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
327015095,13251241,45.2203776,-93.1453969,327015177,24.829,4.48361,-1.44106,0.000599753,-0.00102212,0.0,-0.0779695,-0.0055951,0.0110656,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.836432,275.921,0.107414,-0.0110656,0.5023,0.245813,0,1,1,1,1,1,0,1,1,1,1,0
327230731,13251241,45.2203776,-93.1453969,327230849,24.8314,4.48982,-1.431,0.000599753,-0.00102212,0.0,-0.0745231,-0.0105835,0.0230216,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.840492,275.921,0.110127,-0.0230216,0.49632,0.244996,0,1,1,1,1,1,0,1,1,1,1,0
327330674,13251241,45.2203776,-93.1453969,327330759,24.8363,4.49658,-1.42672,0.000599753,-0.00102212,0.0,-0.0721366,-0.00851512,0.0197952,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.843161,275.921,0.0990167,-0.0197952,0.48504,0.245154,0,1,1,1,1,1,0,1,1,1,1,0
327432152,13251241,45.2203776,-93.1453969,327432304,24.8424,4.50743,-1.41692,0.000599753,-0.00102212,0.0,-0.0719827,-0.00374548,0.0156194,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.845111,275.921,0.114332,-0.0156194,0.498251,0.245327,0,1,1,1,1,1,0,1,1,1,1,0
327536192,13251241,45.2203776,-93.1453969,327536274,24.8513,4.51699,-1.41063,0.000599753,-0.00102212,0.0,-0.0702041,-0.00369503,0.00718798,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.845569,275.921,0.107456,-0.00718798,0.485918,0.244797,0,1,1,1,1,1,0,1,1,1,1,0
327637296,13251241,45.2203776,-93.1453969,327637418,24.8589,4.52447,-1.40611,0.000599753,-0.00102212,0.0,-0.0667631,-0.00669389,0.00812743,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.845522,275.921,0.104623,-0.00812743,0.500529,0.24552,0,1,1,1,1,1,0,1,1,1,1,0
327736133,13251241,45.2203776,-93.1453969,327736215,24.8539,4.53071,-1.40454,0.000599753,-0.00102212,0.0,-0.0743041,-0.00882811,0.0153924,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.847207,275.921,0.0992814,-0.0153924,0.489081,0.245432,0,1,1,1,1,1,0,1,1,1,1,0
327838443,13251241,45.2203776,-93.1453969,327838596,24.8467,4.53486,-1.40319,0.000599753,-0.00102212,0.0,-0.0749046,-0.00600736,0.0169719,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.847625,275.921,0.0952358,-0.0169719,0.502017,0.245374,0,1,1,1,1,1,0,1,1,1,1,0
327941857,13251241,45.2203776,-93.1453969,327941951,24.8432,4.53757,-1.40217,0.000599753,-0.00102212,0.0,-0.0724882,-0.00945323,0.0183809,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.844327,275.921,0.0940859,-0.0183809,0.488375,0.246233,0,1,1,1,1,1,0,1,1,1,1,0
328042704,13251241,45.2203776,-93.1453969,328042786,24.8389,4.5382,-1.40209,0.000599753,-0.00102212,0.0,-0.0780498,-0.0184629,0.0197694,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.842134,275.921,0.0921851,-0.0197694,0.502937,0.246864,0,1,1,1,1,1,0,1,1,1,1,0
328142095,13251241,45.2203776,-93.1453969,328142216,24.8341,4.53911,-1.40136,0.000599753,-0.00102212,0.0,-0.0858175,-0.0237757,0.0205903,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.843497,275.921,0.0950557,-0.0205903,0.489542,0.246176,0,1,1,1,1,1,0,1,1,1,1,0
328245754,13251241,45.2203776,-93.1453969,328245839,24.8282,4.5397,-1.39916,0.000599753,-0.00102212,0.0,-0.0880645,-0.0276581,0.0196285,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.845916,275.921,0.0988555,-0.0196285,0.503629,0.246589,0,1,1,1,1,1,0,1,1,1,1,0
328347366,13251241,45.2203776,-93.1453969,328347451,24.8229,4.54021,-1.39704,0.000599753,-0.00102212,0.0,-0.0915853,-0.0355822,0.0160231,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.847907,275.921,0.0980337,-0.0160231,0.490201,0.245817,0,1,1,1,1,1,0,1,1,1,1,0
328448248,13251241,45.2203776,-93.1453969,328448330,24.816,4.53897,-1.39154,0.000599753,-0.00102212,0.0,-0.101614,-0.0383349,0.014885,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.848953,275.921,0.10853,-0.014885,0.503208,0.245767,0,1,1,1,1,1,0,1,1,1,1,0
328548729,13251241,45.2203776,-93.1453969,328548811,24.8173,4.54384,-1.38565,0.000599753,-0.00102212,0.0,-0.101423,-0.0363399,0.0137467,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.848121,275.921,0.105878,-0.0137467,0.492824,0.246246,0,1,1,1,1,1,0,1,1,1,1,0
328649747,13251241,45.2203776,-93.1453969,328649828,24.8152,4.5466,-1.38193,0.000599753,-0.00102212,0.0,-0.102063,-0.0408551,0.0164176,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.845624,275.921,0.099491,-0.0164176,0.481538,0.246153,0,1,1,1,1,1,0,1,1,1,1,0
328754625,13251241,45.2203776,-93.1453969,328754707,24.8131,4.55325,-1.37879,0.000599753,-0.00102212,0.0,-0.0939827,-0.0500162,0.0189999,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.842498,275.921,0.0983593,-0.0189999,0.494767,0.246373,0,1,1,1,1,1,0,1,1,1,1,0
328853737,13251241,45.2203776,-93.1453969,328853819,24.809,4.55585,-1.37314,0.000599753,-0.00102212,0.0,-0.0929816,-0.0380596,0.0304775,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.840117,275.921,0.100596,-0.0304775,0.507673,0.24618,0,1,1,1,1,1,0,1,1,1,1,0
328954042,13251241,45.2203776,-93.1453969,328954123,24.8124,4.55378,-1.36685,0.000599753,-0.00102212,0.0,-0.0915058,-0.036677,0.0349608,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.838955,275.921,0.096072,-0.0349608,0.494409,0.24563,0,1,1,1,1,1,0,1,1,1,1,0
329055563,13251241,45.2203776,-93.1453969,329055650,24.8151,4.55118,-1.36607,0.000599753,-0.00102212,0.0,-0.0865081,-0.0501343,0.0302173,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.838325,275.921,0.0822309,-0.0302173,0.482535,0.245314,0,1,1,1,1,1,0,1,1,1,1,0
329159358,13251241,45.2203776,-93.1453969,329159485,24.8201,4.55804,-1.37127,0.000599753,-0.00102212,0.0,-0.0788358,-0.0486496,-0.000885709,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.836992,275.921,0.0815098,0.000885709,0.496777,0.245932,0,1,1,1,1,1,0,1,1,1,1,0
329259394,13251241,45.2203776,-93.1453969,329259476,24.8225,4.56001,-1.37735,0.000599753,-0.00102212,0.0,-0.0351729,-0.0527651,-0.0001683,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.827592,275.921,0.0842776,0.0001683,0.508407,0.245167,0,1,1,1,1,1,0,1,1,1,1,0
329360035,13251241,45.2203776,-93.1453969,329360158,24.8286,4.56252,-1.38176,0.000599753,-0.00102212,0.0,-0.00421541,-0.0692027,0.047181,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.813945,275.921,0.0865296,-0.047181,0.495902,0.244929,0,1,1,1,1,1,0,1,1,1,1,0
329463444,13251241,45.2203776,-93.1453969,329463526,24.8341,4.56092,-1.38035,0.000599753,-0.00102212,0.0,0.00207912,-0.0741486,0.0805006,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.80477,275.921,0.0756446,-0.0805006,0.509188,0.244852,0,1,1,1,1,1,0,1,1,1,1,0
329565046,13251241,45.2203776,-93.1453969,329565128,24.8466,4.56545,-1.37359,0.000599753,-0.00102212,0.0,-0.0196045,-0.0792569,0.140248,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.802962,275.921,0.0741876,-0.140248,0.496881,0.244754,0,1,1,1,1,1,0,1,1,1,1,0
329664992,13251241,45.2203776,-93.1453969,329665082,24.8542,4.56615,-1.36487,0.000599753,-0.00102212,0.0,-0.0227909,-0.0894504,0.1333,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.805207,275.921,0.0682253,-0.1333,0.484183,0.244202,0,1,1,1,1,1,0,1,1,1,1,0
329768961,13251241,45.2203776,-93.1453969,329769058,24.8545,4.57626,-1.35604,0.000599753,-0.00102212,0.0,-0.00750436,-0.0646746,0.110346,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.796906,275.921,0.0693799,-0.110346,0.498697,0.244898,0,1,1,1,1,1,0,1,1,1,1,0
329868904,13251241,45.2203776,-93.1453969,329868989,24.853,4.58396,-1.34582,0.000599753,-0.00102212,0.0,-0.0492248,-0.0105887,0.0891364,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.779853,275.921,0.0802569,-0.0891364,0.485818,0.244348,0,1,1,1,1,1,0,1,1,1,1,0
329971044,13251241,45.2203776,-93.1453969,329971172,24.8452,4.59371,-1.33974,0.000599753,-0.00102212,0.0,-0.0999718,-0.0305636,0.037535,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.763044,275.921,0.0773104,-0.037535,0.500744,0.245191,0,1,1,1,1,1,0,1,1,1,1,0
330071092,13251241,45.2203776,-93.1453969,330071179,24.8361,4.60029,-1.33849,0.000599753,-0.00102212,0.0,-0.0698726,-0.0377631,0.0187381,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.758985,275.921,0.0854025,-0.0187381,0.487708,0.244646,0,1,1,1,1,1,0,1,1,1,1,0
330174575,13251241,45.2203776,-93.1453969,330174657,24.8308,4.61227,-1.34139,0.000599753,-0.00102212,0.0,-0.0734593,-0.000376087,0.0164174,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.752422,275.921,0.0891873,-0.0164174,0.500018,0.244366,0,1,1,1,1,1,0,1,1,1,1,0
330276237,13251241,45.2203776,-93.1453969,330276319,24.825,4.6222,-1.34068,0.000599753,-0.00102212,0.0,-0.0805931,-0.0137305,0.0211863,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.752992,275.921,0.0990723,-0.0211863,0.486513,0.243696,0,1,1,1,1,1,0,1,1,1,1,0
330374570,13251241,45.2203776,-93.1453969,330374681,24.8292,4.63888,-1.33725,0.000599753,-0.00102212,0.0,-0.071413,-0.00764227,0.0168103,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.766005,275.921,0.10013,-0.0168103,0.499307,0.245479,0,1,1,1,1,1,0,1,1,1,1,0
330476467,13251241,45.2203776,-93.1453969,330476607,24.8311,4.64836,-1.33659,0.000599753,-0.00102212,0.0,-0.0516779,-0.0295372,0.0197885,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.781911,275.921,0.0969545,-0.0197885,0.511596,0.244957,0,1,1,1,1,1,0,1,1,1,1,0
330580218,13251241,45.2203776,-93.1453969,330580299,24.8437,4.66528,-1.3321,0.000599753,-0.00102212,0.0,-0.0416122,-0.0176294,0.0401936,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.780777,275.921,0.103047,-0.0401936,0.500301,0.245352,0,1,1,1,1,1,0,1,1,1,1,0
330680851,13251241,45.2203776,-93.1453969,330680972,24.8503,4.67722,-1.32742,0.000599753,-0.00102212,0.0,-0.0469833,-0.0179609,0.0479613,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.766874,275.921,0.091477,-0.0479613,0.488387,0.24353,0,1,1,1,1,1,0,1,1,1,1,0
330780166,13251241,45.2203776,-93.1453969,330780247,24.8515,4.68843,-1.32414,0.000599753,-0.00102212,0.0,-0.0513845,-0.0192785,0.0459154,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.749264,275.921,0.0864215,-0.0459154,0.50072,0.245087,0,1,1,1,1,1,0,1,1,1,1,0
330885451,13251241,45.2203776,-93.1453969,330885533,24.8517,4.69787,-1.32245,0.000599753,-0.00102212,0.0,-0.0629067,-0.0249126,0.0303368,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.740834,275.921,0.0887783,-0.0303368,0.488388,0.245014,0,1,1,1,1,1,0,1,1,1,1,0
330985815,13251241,45.2203776,-93.1453969,330985897,24.8504,4.70333,-1.32138,0.000599753,-0.00102212,0.0,-0.0743402,-0.0287321,0.0141999,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.742532,275.921,0.0934067,-0.0141999,0.502356,0.245413,0,1,1,1,1,1,0,1,1,1,1,0
331085797,13251241,45.2203776,-93.1453969,331085879,24.8483,4.70674,-1.32167,0.000599753,-0.00102212,0.0,-0.0759525,-0.0286815,0.0149206,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.746485,275.921,0.0955318,-0.0149206,0.490263,0.243742,0,1,1,1,1,1,0,1,1,1,1,0
331189790,13251241,45.2203776,-93.1453969,331189872,24.8481,4.70805,-1.32205,0.000599753,-0.00102212,0.0,-0.0697935,-0.0345887,0.0226127,-0.0598797,-0.00528227,0.271893,0.0,0.0,0.0,-0.747035,275.921,0.0909294,-0.0226127,0.503438,0.245621,0,1,1,1,1,1,0,1,1,1,1,0
